Process Element ID,Hierarchy ID,Process Element,Metric Category,"Metric ID
",Metric Name,Formula,Units
10002,1.0,Develop Vision and Strategy,Process Efficiency,101339,Number of new businesses launched over the past three reporting periods per $100 million R&D spend (three reporting periods prior),Number of new businesses/services launched over the past three years / (Research and development (R&D) costs (three reporting periods prior) * 0.000000010),new businesses
10002,1.0,Develop Vision and Strategy,Process Efficiency,101337,Number of new businesses launched over the past three reporting periods per $1 billion revenue (current reporting period),Number of new businesses/services launched over the past three years / (Total business entity revenue * 0.000000001),new businesses
10018,1.1.2,Survey market and determine customer needs and wants,Process Efficiency,106127,Actual Open-to-buy retail inventory as a percentage of planned retail inventory,Actual Open-to-buy inventory as a percentage of planned inventory,percent
10003,2.0,Develop and Manage Products and Services,Process Efficiency,111190,Percentage of digital product team time allocated to digital product design and prototyping,"Percentage of digital product team's time dedicated to digital product design and prototyping
",percent
10003,2.0,Develop and Manage Products and Services,Cost Effectiveness,101764,Percentage growth in R&D cost from three reporting periods prior,((Costs of research and development (R&D) - Research and development (R&D) costs (three reporting periods prior)) / Research and development (R&D) costs (three reporting periods prior)) * 100.0,percent
10003,2.0,Develop and Manage Products and Services,Cost Effectiveness,100694,Engineering change order (ECO) costs as a percentage of the total new product development cost,Engineering change-order costs as a percentage of total new product development costs,percent
10003,2.0,Develop and Manage Products and Services,Cost Effectiveness,100026,Budget for research and development (R&D) as a percentage of revenue,(Budget for research and development (R&D) / Total business entity revenue) * 100.0,percent
10003,2.0,Develop and Manage Products and Services,Supplemental Information,102003,Percentage of external ideas from suppliers,Percentage of external ideas from suppliers,percent
10003,2.0,Develop and Manage Products and Services,Process Efficiency,111192,Percentage of digital product team time allocated to digital product support,Percentage of digital product team's time dedicated to digital product support,percent
10003,2.0,Develop and Manage Products and Services,Cost Effectiveness,103143,"Research and development (R&D) cost related to product improvements and extensions per $1,000 revenue",((Percentage of research and development (R&D) cost related to new product development projects * -0.01 + 1) * Costs of research and development (R&D)) / (Total business entity revenue * 0.0010),dollars
10003,2.0,Develop and Manage Products and Services,Cost Effectiveness,103141,"Research and development (R&D) cost related to new product development projects per $1,000 revenue",((Percentage of research and development (R&D) cost related to new product development projects * 0.010) * Costs of research and development (R&D)) / (Total business entity revenue * 0.0010),dollars
10003,2.0,Develop and Manage Products and Services,Cost Effectiveness,103115,Research and development (R&D) budget per R&D FTE,Budget for research and development (R&D) / Number of FTEs who perform research and development (R&D),dollars
10003,2.0,Develop and Manage Products and Services,Process Efficiency,111191,Percentage of digital product team time allocated to digital product development,Percentage of digital product team's time dedicated to digital product development,percent
10003,2.0,Develop and Manage Products and Services,Process Efficiency,101985,Percentage of existing product/service improvement and extension projects launched on budget,Percentage of existing product/service improvement projects launched on budget,percent
10003,2.0,Develop and Manage Products and Services,Staff Productivity,104463,Number of research and development (R&D) FTEs per $1 billion revenue,Number of FTEs who perform research and development (R&D) / (Total business entity revenue * .000000001),FTEs
